stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
600208,600208,"Banoon station, platform 3",, -27.576270, 153.046240,1,https://translink.com.au/stop/600208/gtfs/,0,place_bansta,3
600209,600209,"Sunnybank station, platform 1",, -27.580756, 153.053910,1,https://translink.com.au/stop/600209/gtfs/,0,place_sunsta,1
600210,600210,"Sunnybank station, platform 2",, -27.580885, 153.053944,1,https://translink.com.au/stop/600210/gtfs/,0,place_sunsta,2
600211,600211,"Sunnybank station, platform 3",, -27.580888, 153.053804,1,https://translink.com.au/stop/600211/gtfs/,0,place_sunsta,3
600212,600212,"Altandi station, platform 1",, -27.582799, 153.063808,1,https://translink.com.au/stop/600212/gtfs/,0,place_altsta,1
600213,600213,"Altandi station, platform 2",, -27.582624, 153.063720,1,https://translink.com.au/stop/600213/gtfs/,0,place_altsta,2
600214,600214,"Altandi station, platform 3",, -27.582790, 153.063664,1,https://translink.com.au/stop/600214/gtfs/,0,place_altsta,3
600215,600215,"Runcorn station, platform 1",, -27.592412, 153.068614,1,https://translink.com.au/stop/600215/gtfs/,0,place_runsta,1
600216,600216,"Runcorn station, platform 2",, -27.592535, 153.068600,1,https://translink.com.au/stop/600216/gtfs/,0,place_runsta,2
600217,600217,"Runcorn station, platform 3",, -27.592492, 153.068543,1,https://translink.com.au/stop/600217/gtfs/,0,place_runsta,3
