stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
3989158,,"Spijkenisse, Spijkenisse Centrum",51.846719,4.334666,0,stoparea:617498,,1,1,
3989156,,"Hoogvliet Rotterdam, Zalmplaat",51.855346,4.362873,0,stoparea:617510,,1,1,
3989154,,"Hoogvliet Rotterdam, Hoogvliet",51.861019,4.367128,0,stoparea:617465,,1,1,
3989167,,"Hoogvliet Rotterdam, Tussenwater",51.862357,4.377304,0,stoparea:617502,,1,10,
3989233,,"Pernis, Pernis",51.885173,4.381731,0,stoparea:617483,,1,2,
3989231,,"Schiedam, Vijfsluizen",51.909325,4.372224,0,stoparea:617508,,1,2,
3989229,,"Schiedam, Troelstralaan",51.915754,4.385044,0,stoparea:617500,,1,2,
3989227,,"Schiedam, Parkweg",51.921298,4.394355,0,stoparea:617486,,1,2,
3989225,,"Schiedam, Schiedam Centrum",51.921541,4.409382,0,stoparea:617491,,1,,
3989170,,"Capelle aan den IJssel, De Terp",51.935965,4.600643,0,stoparea:617499,,1,2,
3989148,,"Rotterdam, Slinge",51.875017,4.477951,0,stoparea:617496,,1,1,
stoparea:617496,Slg,Slinge,51.87477633333333,4.477815333333333,1,,,0,,
3989144,,"Rotterdam, Zuidplein",51.887297,4.488597,0,stoparea:617509,,1,1,
stoparea:617509,Zpl,Zuidplein,51.886927,4.488372,1,,,0,,
3989142,,"Rotterdam, Maashaven",51.897503,4.494961,0,stoparea:617472,,1,1,
stoparea:617472,Mhv,Maashaven,51.8971595,4.494706,1,,,0,,
3989140,,"Rotterdam, Rijnhaven",51.904089,4.496966,0,stoparea:617489,,1,1,
stoparea:617489,Rhv,Rijnhaven,51.903688,4.496836,1,,,0,,
3989162,,"Rotterdam, Wilhelminaplein",51.907749,4.492519,0,stoparea:618332,,1,1,
stoparea:618332,Whp,Wilhelminaplein,51.9077398,4.492659000000001,1,,,0,,
3989138,,"Rotterdam, Leuvehaven",51.913699,4.481761,0,stoparea:617468,,1,1,
stoparea:617468,Lhv,Leuvehaven,51.91332225,4.481903249999999,1,,,0,,
3989136,,"Rotterdam, Beurs",51.918404,4.481143,0,stoparea:617449,,1,,
3989134,,"Rotterdam, Stadhuis",51.923476,4.478032,0,stoparea:617494,,1,1,
stoparea:617494,Shs,Stadhuis,51.923476,4.478032,1,,,0,,
4140486,,"Rotterdam, Rotterdam Centraal",51.923953,4.469997,0,stoparea:634809,,1,,
stoparea:634809,C.s,Onbekend,51.923953000000004,4.469997,1,,,0,,
