service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
71136.070926.31,1,1,1,1,1,0,0,20260907,20261002
71136.061026.31,1,1,1,1,1,0,0,20261006,20261217
71148.070926.31,1,1,1,1,1,0,0,20260907,20261002
71148.061026.31,1,1,1,1,1,0,0,20261006,20261217
71160.070926.31,1,1,1,1,1,0,0,20260907,20261002
71160.061026.31,1,1,1,1,1,0,0,20261006,20261217
71172.070926.31,1,1,1,1,1,0,0,20260907,20261002
71172.061026.31,1,1,1,1,1,0,0,20261006,20261217
71184.070926.31,1,1,1,1,1,0,0,20260907,20261002
71184.061026.31,1,1,1,1,1,0,0,20261006,20261217
71196.070926.31,1,1,1,1,1,0,0,20260907,20261002
71196.061026.31,1,1,1,1,1,0,0,20261006,20261217
71208.070926.31,1,1,1,1,1,0,0,20260907,20261002
71208.061026.31,1,1,1,1,1,0,0,20261006,20261217
71220.070926.31,1,1,1,1,1,0,0,20260907,20261002
71220.061026.31,1,1,1,1,1,0,0,20261006,20261217
71232.070926.31,1,1,1,1,1,0,0,20260907,20261002
71232.061026.31,1,1,1,1,1,0,0,20261006,20261217
71244.070926.31,1,1,1,1,1,0,0,20260907,20261002
71244.061026.31,1,1,1,1,1,0,0,20261006,20261217
71256.070926.31,1,1,1,1,1,0,0,20260907,20261002
71256.061026.31,1,1,1,1,1,0,0,20261006,20261217
71268.070926.31,1,1,1,1,1,0,0,20260907,20261002
71268.061026.31,1,1,1,1,1,0,0,20261006,20261217
71280.070926.31,1,1,1,1,1,0,0,20260907,20261002
71280.061026.31,1,1,1,1,1,0,0,20261006,20261217
71292.070926.31,1,1,1,1,1,0,0,20260907,20261002
71292.061026.31,1,1,1,1,1,0,0,20261006,20261217
71304.070926.31,1,1,1,1,1,0,0,20260907,20261002
71304.061026.31,1,1,1,1,1,0,0,20261006,20261217
71316.070926.31,1,1,1,1,1,0,0,20260907,20261002
71316.061026.31,1,1,1,1,1,0,0,20261006,20261217
71328.070926.31,1,1,1,1,1,0,0,20260907,20261002
71328.061026.31,1,1,1,1,1,0,0,20261006,20261217
71340.070926.31,1,1,1,1,1,0,0,20260907,20261002
71340.061026.31,1,1,1,1,1,0,0,20261006,20261217
71352.070926.31,1,1,1,1,1,0,0,20260907,20261002
71352.061026.31,1,1,1,1,1,0,0,20261006,20261217
71364.070926.31,1,1,1,1,1,0,0,20260907,20261002
71364.061026.31,1,1,1,1,1,0,0,20261006,20261217
71376.070926.31,1,1,1,1,1,0,0,20260907,20261002
71376.061026.31,1,1,1,1,1,0,0,20261006,20261217
71388.070926.31,1,1,1,1,1,0,0,20260907,20261002
71388.061026.31,1,1,1,1,1,0,0,20261006,20261217
71400.070926.31,1,1,1,1,1,0,0,20260907,20261002
71400.061026.31,1,1,1,1,1,0,0,20261006,20261217
71412.070926.31,1,1,1,1,1,0,0,20260907,20261002
71412.061026.31,1,1,1,1,1,0,0,20261006,20261217
71424.070926.31,1,1,1,1,1,0,0,20260907,20261002
71424.061026.31,1,1,1,1,1,0,0,20261006,20261217
71436.070926.31,1,1,1,1,1,0,0,20260907,20261002
71436.061026.31,1,1,1,1,1,0,0,20261006,20261217
71448.070926.31,1,1,1,1,1,0,0,20260907,20261002
71448.061026.31,1,1,1,1,1,0,0,20261006,20261217
71460.070926.31,1,1,1,1,1,0,0,20260907,20261002
71460.061026.31,1,1,1,1,1,0,0,20261006,20261217
71472.070926.31,1,1,1,1,1,0,0,20260907,20261002
71472.061026.31,1,1,1,1,1,0,0,20261006,20261217
71484.070926.31,1,1,1,1,1,0,0,20260907,20261002
71484.061026.31,1,1,1,1,1,0,0,20261006,20261217
71496.070926.31,1,1,1,1,1,0,0,20260907,20261002
71496.061026.31,1,1,1,1,1,0,0,20261006,20261217
71508.070926.31,1,1,1,1,1,0,0,20260907,20261002
71508.061026.31,1,1,1,1,1,0,0,20261006,20261217
71520.070926.31,1,1,1,1,1,0,0,20260907,20261002
71520.061026.31,1,1,1,1,1,0,0,20261006,20261217
71532.070926.31,1,1,1,1,1,0,0,20260907,20261002
71532.061026.31,1,1,1,1,1,0,0,20261006,20261217
71544.070926.31,1,1,1,1,1,0,0,20260907,20261002
71544.061026.31,1,1,1,1,1,0,0,20261006,20261217
71556.070926.31,1,1,1,1,1,0,0,20260907,20261002
71556.061026.31,1,1,1,1,1,0,0,20261006,20261217
71568.070926.31,1,1,1,1,1,0,0,20260907,20261002
71568.061026.31,1,1,1,1,1,0,0,20261006,20261217
71580.070926.31,1,1,1,1,1,0,0,20260907,20261002
71580.061026.31,1,1,1,1,1,0,0,20261006,20261217
71592.070926.31,1,1,1,1,1,0,0,20260907,20261002
71592.061026.31,1,1,1,1,1,0,0,20261006,20261217
71604.070926.31,1,1,1,1,1,0,0,20260907,20261002
71604.061026.31,1,1,1,1,1,0,0,20261006,20261217
71616.070926.31,1,1,1,1,1,0,0,20260907,20261002
